path,decision,rationale
"scripts/fix-tags.mjs","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/furrow-analytics.js","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
"scripts/furrow-chat.js","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
"scripts/generate-tomato-charts.py","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/i18n-archive-strings.js","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/i18n-chat-strings.js","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/i18n-home-strings.js","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/i18n-sponsor-strings.js","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/i18n-strings.js","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/i18n-tomato-strings.js","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/i18n-ukraine-strings.js","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/i18n.js","REMOVE","Legacy static-site runtime script superseded by the Next.js app."
"scripts/live-data.js","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
"scripts/nav-stubs.js","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/patch-home-i18n.mjs","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/sponsor-page.js","REMOVE","Legacy static-site runtime script superseded by the Next.js app."
"scripts/sponsor-ui.js","REMOVE","Legacy static-site runtime script superseded by the Next.js app."
"scripts/sync-agridirect-articles.mjs","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
"scripts/ticker-live.js","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
"scripts/tomato-harvest-charts.js","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
"scripts/waitlist.js","REMOVE","Legacy static-site runtime script superseded by the Next.js app."
"scripts/windows/junction-fieldlot-to-project.ps1","REMOVE","Machine-specific workspace helper; keep out of product repository."
"scripts/windows/link-cyrillic-desktop-folder.ps1","REMOVE","Machine-specific workspace helper; keep out of product repository."
"server/agent-memory.ts","REFACTOR","Extract generic agent contracts/runtime from agriculture assumptions."
"server/agent-tools.ts","REFACTOR","Extract generic agent contracts/runtime from agriculture assumptions."
"server/agent-types.ts","REFACTOR","Extract generic agent contracts/runtime from agriculture assumptions."
"server/agent-workflow.ts","REFACTOR","Extract generic agent contracts/runtime from agriculture assumptions."
"server/furrow-agent-tools.ts","VERTICAL","Furrow agriculture implementation; move under agriculture vertical."
"server/furrow-chat-handler.ts","VERTICAL","Furrow agriculture implementation; move under agriculture vertical."
"server/furrow-knowledge.ts","VERTICAL","Furrow agriculture implementation; move under agriculture vertical."
"server/furrow-market-signals.ts","VERTICAL","Furrow agriculture implementation; move under agriculture vertical."
"server/llm-upstream.ts","REFACTOR","Generic LLM adapter candidate; remove Furrow coupling and add interfaces."
"server/waitlist.ts","REMOVE","Legacy marketing waitlist endpoint outside target platform core."
"skills-lock.json","REMOVE","Tooling-specific lock artifact unrelated to runtime platform."
"sponsor.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"styles/agri-market-shared.css","VERTICAL","Agriculture/static-site styling; move with vertical or archive."
"styles/agri-marketing-supplement.css","VERTICAL","Agriculture/static-site styling; move with vertical or archive."
"styles/article.css","VERTICAL","Agriculture/static-site styling; move with vertical or archive."
"styles/egypt-ru-article.css","VERTICAL","Agriculture/static-site styling; move with vertical or archive."
"styles/furrow-chat.css","VERTICAL","Agriculture/static-site styling; move with vertical or archive."
"styles/furrow.css","VERTICAL","Agriculture/static-site styling; move with vertical or archive."
"styles/register.css","REMOVE","Legacy static-page stylesheet duplicated by Next.js styling."
"styles/sponsor.css","REMOVE","Legacy static-page stylesheet duplicated by Next.js styling."
"test_security_integration.py","KEEP","Validated Phase 1B security baseline; freeze."
"tomato-harvest-2026.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"translate_ru.py","REMOVE","One-off legacy transformation script; archive outside product core."
"tsconfig.json","REFACTOR","Retain at root but rewrite for extracted monorepo and security workflow."
"ukraine-harvest-war.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"update_dashboard.py","REMOVE","One-off legacy transformation script; archive outside product core."
"update_en.py","REMOVE","One-off legacy transformation script; archive outside product core."
"update_nav.py","REMOVE","One-off legacy transformation script; archive outside product core."
"update_ru_dashboard.py","REMOVE","One-off legacy transformation script; archive outside product core."
"us-canada-wheat-trade-war-en.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"us-canada-wheat-trade-war-ru.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"vercel.json","REFACTOR","Retain at root but rewrite for extracted monorepo and security workflow."
